forest_source,avg_altitude,river_length,In_City,In_Habitat,geometry,id,status1,status2,status3
9957.89644185,1045.02305284,37.3075260286,0,1,"POLYGON ((101.81140062717736 21.892681560837048, 101.76326442114163 21.809307206299593, 101.66699200907033 21.809307206299593, 101.61885580303459 21.892681560837048, 101.66699200907033 21.976055915374502, 101.76326442114163 21.976055915374502, 101.81140062717736 21.892681560837048))",51,none,none,none
10000.0,1131.25248281,0.0,0,1,"POLYGON ((101.95580924528446 21.809307206299593, 101.90767303924889 21.72593285176231, 101.81140062717736 21.72593285176231, 101.76326442114163 21.809307206299593, 101.81140062717736 21.892681560837048, 101.90767303924889 21.892681560837048, 101.95580924528446 21.809307206299593))",52,none,none,none
9844.60305344,1938.04476287,11.4523339747,0,0,"POLYGON ((99.50086273746388 22.059430269912014, 99.45272653142814 21.976055915374502, 99.35645411935661 21.976055915374502, 99.30831791332105 22.059430269912014, 99.35645411935661 22.142804624449468, 99.45272653142814 22.142804624449468, 99.50086273746388 22.059430269912014))",53,none,none,none
9885.37682165,1342.20402113,25.3008175231,0,0,"POLYGON ((99.78967997367795 22.059430269912014, 99.74154376764238 21.976055915374502, 99.64527135557091 21.976055915374502, 99.59713514953518 22.059430269912014, 99.64527135557091 22.142804624449468, 99.74154376764238 22.142804624449468, 99.78967997367795 22.059430269912014))",54,none,none,none
9749.26315789,1677.22205191,6.01724606139,0,0,"POLYGON ((99.93408859178521 21.976055915374502, 99.88595238574948 21.892681560837048, 99.78967997367795 21.892681560837048, 99.74154376764238 21.976055915374502, 99.78967997367795 22.059430269912014, 99.88595238574948 22.059430269912014, 99.93408859178521 21.976055915374502))",55,none,none,none
9813.14445575,1181.22251645,59.2623003662,0,0,"POLYGON ((100.07849720989225 22.059430269912014, 100.03036100385651 21.976055915374502, 99.93408859178521 21.976055915374502, 99.88595238574948 22.059430269912014, 99.93408859178521 22.142804624449468, 100.03036100385651 22.142804624449468, 100.07849720989225 22.059430269912014))",56,none,none,none
9751.61990127,1505.20757178,66.3658416942,0,0,"POLYGON ((100.22290582799928 21.976055915374502, 100.17476962196355 21.892681560837048, 100.07849720989225 21.892681560837048, 100.03036100385651 21.976055915374502, 100.07849720989225 22.059430269912014, 100.17476962196355 22.059430269912014, 100.22290582799928 21.976055915374502))",57,none,none,none
9684.20026212,1356.97087923,50.751436956,0,1,"POLYGON ((100.36731444610632 22.059430269912014, 100.31917824007058 21.976055915374502, 100.22290582799928 21.976055915374502, 100.17476962196372 22.059430269912014, 100.22290582799928 22.142804624449468, 100.31917824007058 22.142804624449468, 100.36731444610632 22.059430269912014))",58,none,none,none
9646.95944166,1235.42923128,62.6383774822,0,1,"POLYGON ((100.51172306421358 21.976055915374502, 100.46358685817785 21.892681560837048, 100.36731444610632 21.892681560837048, 100.31917824007058 21.976055915374502, 100.36731444610632 22.059430269912014, 100.46358685817785 22.059430269912014, 100.51172306421358 21.976055915374502))",59,none,none,none
9781.94301994,1466.84494429,48.3882091185,0,0,"POLYGON ((100.65613168232062 22.059430269912014, 100.60799547628488 21.976055915374502, 100.51172306421358 21.976055915374502, 100.46358685817785 22.059430269912014, 100.51172306421358 22.142804624449468, 100.60799547628488 22.142804624449468, 100.65613168232062 22.059430269912014))",60,none,none,none
9466.03147763,859.853680583,65.2307495585,0,1,"POLYGON ((100.80054030042766 21.976055915374502, 100.75240409439192 21.892681560837048, 100.65613168232062 21.892681560837048, 100.60799547628488 21.976055915374502, 100.65613168232062 22.059430269912014, 100.75240409439192 22.059430269912014, 100.80054030042766 21.976055915374502))",61,none,none,none
9564.98007439,845.028070479,72.5115342016,0,1,"POLYGON ((100.94494891853492 22.059430269912014, 100.89681271249918 21.976055915374502, 100.80054030042766 21.976055915374502, 100.75240409439192 22.059430269912014, 100.80054030042766 22.142804624449468, 100.89681271249918 22.142804624449468, 100.94494891853492 22.059430269912014))",62,via,via,none
9890.00914077,900.440153858,53.7497075709,0,0,"POLYGON ((101.08935753664196 21.976055915374502, 101.04122133060622 21.892681560837048, 100.94494891853492 21.892681560837048, 100.89681271249918 21.976055915374502, 100.94494891853492 22.059430269912014, 101.04122133060622 22.059430269912014, 101.08935753664196 21.976055915374502))",63,none,none,none
9976.11715481,1046.77264664,62.178917827,0,1,"POLYGON ((101.23376615474899 22.059430269912014, 101.18562994871326 21.976055915374502, 101.08935753664196 21.976055915374502, 101.04122133060622 22.059430269912014, 101.08935753664196 22.142804624449468, 101.18562994871326 22.142804624449468, 101.23376615474899 22.059430269912014))",64,none,none,none
9906.55502896,806.222093649,67.6674117836,0,1,"POLYGON ((101.37817477285603 21.976055915374502, 101.33003856682029 21.892681560837048, 101.23376615474899 21.892681560837048, 101.18562994871326 21.976055915374502, 101.23376615474899 22.059430269912014, 101.33003856682029 22.059430269912014, 101.37817477285603 21.976055915374502))",65,none,none,via
